HOST,ISOLATE_CODE,ISOLATE,BLOCK,TRIAL,AUSPC,TUBER_YIELD_g,TUBER_COUNT,STEM_INFECTION
1,28,1-1.4,5,2,990,0,0,0
1,29,1-2.4,5,2,2770,0,0,0
1,30,1-3.4,5,2,3172.5,0,0,0
1,31,2-1.4,5,2,1912.5,0,0,0
1,32,2-2.4,5,2,2125,0,0,0
1,33,2-3.4,5,2,1452.5,0,0,0
1,34,3-1.4,5,2,2962.5,0,0,0
1,35,3-2.4,5,2,1927.5,0,0,0
1,36,3-3.4,5,2,3035,0,0,0
1,37,H20,5,2,1165.5,0,0,0
1,1,1-1.1,6,2,902.5,0,0,0
1,2,1-2.1,6,2,3430,0,0,0
1,3,1-3.1,6,2,3220,0,0,0
1,4,2-1.1,6,2,3092.5,0,0,0
1,5,2-2.1,6,2,2724.5,0,0,0
1,6,2-3.1,6,2,1365.5,0,0,0
1,7,3-1.1,6,2,2210,0,0,0
1,8,3-2.1,6,2,1472.5,0,0,0
1,9,3-3.1,6,2,2792.5,0,0,0
1,10,1-1.2,6,2,910,0,0,0
1,11,1-2.2,6,2,2977.5,0,0,0
1,12,1-3.2,6,2,2719,0,0,0
1,13,2-1.2,6,2,2355,0,0,0
1,14,2-2.2,6,2,3182.5,0,0,0
1,15,2-3.2,6,2,1637.5,0,0,0
1,16,3-1.2,6,2,3430,0,0,0
1,17,3-2.2,6,2,1832.5,0,0,0
1,18,3-3.2,6,2,3105,0,0,0
1,19,1-1.3,6,2,3092.5,0,0,0
1,20,1-2.3,6,2,2712.5,0,0,0
1,21,1-3.3,6,2,2709.5,0,0,0
1,22,2-1.3,6,2,2784.5,0,0,0
1,23,2-2.3,6,2,1662.5,0,0,0
1,24,2-3.3,6,2,1447.5,0,0,0
1,25,3-1.3,6,2,1080,0,0,0
1,26,3-2.3,6,2,785.5,0,0,0
1,27,3-3.3,6,2,2472.5,0,0,0
1,28,1-1.4,6,2,1310,0,0,0
1,29,1-2.4,6,2,2897.5,0,0,0
1,30,1-3.4,6,2,2712.5,0,0,0
1,31,2-1.4,6,2,782.5,0,0,0
1,32,2-2.4,6,2,3110,0,0,0
1,33,2-3.4,6,2,1012.5,0,0,0
1,34,3-1.4,6,2,2422.5,0,0,0
1,35,3-2.4,6,2,1007.5,0,0,0
1,36,3-3.4,6,2,2574,0,0,0
1,37,H20,6,2,1292.5,0,0,0
